UnitID,Institution Name,Sector of institution (HD2017),Institution name alias (HD2017),Institution (entity) name (HD2017),Street address or post office box (HD2017),City location of institution (HD2017),ZIP code (HD2017),Institution's internet website address (HD2017),Financial aid office web address (HD2017),Admissions office web address (HD2017),Online application web address (HD2017),
122658,San Joaquin Delta College,4,Delta|Delta College|San Joaquin|San Joaquin Delta|San Joaquin Delta Community College District,San Joaquin Delta College,5151 Pacific Ave,Stockton,95207,www.deltacollege.edu/index.html,www.deltacollege.edu/dept/finaid/index.html,www.deltacollege.edu/dept/ar/index.html,www.deltacollege.edu/dept/ar/admissions/process/index.html,
122746,San Jose City College,4,,San Jose City College,2100 Moorpark Ave,San Jose,95128-2798,www.sjcc.edu,www.sjcc.edu/current-students/on-campus-resources/financial-aid-and-scholarship,www.sjcc.edu/current-students/on-campus-resources/admissions-and-records-office,https://www.sjcc.edu/future-students/apply-now,
122755,San Jose State University,1,,San Jose State University,One Washington Square,San Jose,95192-0001,www.sjsu.edu,www.sjsu.edu/faso/,info.sjsu.edu/home/admission.html,https://www2.calstate.edu/apply,
121619,Santa Ana College,1,SAC,Santa Ana College,1530 W. 17th Street,Santa Ana,92706-3398,www.sac.edu,www.sac.edu/StudentServices/FinancialAid/Pages/default.aspx,www.sac.edu/StudentServices/AdmissionsRecords/Pages/default.aspx,www.opencccapply.net/uPortal/render.userLayoutRootNode.uP,
122889,Santa Barbara City College,4,SBCC,Santa Barbara City College,721 Cliff Drive,Santa Barbara,93109-2394,www.sbcc.edu,www.sbcc.edu/financialaid/,www.sbcc.edu/admissions/,www.sbcc.edu/apply/apply_to_college.php,
122977,Santa Monica College,1,SMC,Santa Monica College,1900 Pico Blvd,Santa Monica,90405-1628,www.smc.edu,www.smc.edu/EnrollmentDevelopment/FinAid/Pages/default.aspx,www.smc.edu/EnrollmentDevelopment/Admissions/Pages/default.aspx,www.smc.edu/EnrollmentDevelopment/Admissions/Pages/Apply-Online.aspx,
123013,Santa Rosa Junior College,4,SRJC,Santa Rosa Junior College,1501 Mendocino Avenue,Santa Rosa,95401-4395,www.santarosa.edu,https://financialaid.santarosa.edu/,https://admissions.santarosa.edu,https://admissions.santarosa.edu/apply,
399212,Santiago Canyon College,4,SCC,Santiago Canyon College,8045 E Chapman,Orange,92869-4512,www.sccollege.edu/Pages/default.aspx,www.sccollege.edu/studentservices/financialaid/Pages/default.aspx,www.sccollege.edu/StudentServices/Admissions/Pages/default.aspx,https://www.sccollege.edu/StudentServices/Admissions/apply/Pages/default.aspx,
123299,Shasta College,1,,Shasta College,11555 Old Oregon Trail,Redding,96003,www.shastacollege.edu,www.shastacollege.edu/Student%20Services/Financial%20Aid/Pages/122.aspx,www.shastacollege.edu/Student%20Services/Enrollment%20Services/Admissions/Pages/74.aspx,www.shastacollege.edu/Student%20Services/Enrollment%20Services/Admissions/Pages/CCCApply.aspx,
123341,Sierra College,4,,Sierra College,5100 Sierra College Blvd,Rocklin,95677-3397,www.sierracollege.edu,www.sierracollege.edu/student-services/financial-aid/index.php,www.sierracollege.edu/admissions/index.php,www.sierracollege.edu/admissions/apply.php,
123509,Skyline College,1,,Skyline College,3300 College Dr,San Bruno,94066-1698,skylinecollege.edu,www.skylinecollege.edu/financialaid/index.php,www.skylinecollege.edu/admissions/apply.php,www.skylinecollege.edu/admissions/apply.php,
123563,Solano Community College,1,Solano College,Solano Community College,4000 Suisun Valley Rd,Fairfield,94534-3197,www.solano.edu,www.solano.edu/financial_aid/,www.solano.edu/ar/,https://www.opencccapply.net/uPortal/render.userLayoutRootNode.uP;jsessionid=429A1C2C4693BE788AF1F890FD6F5546,
123572,Sonoma State University,1,,Sonoma State University,1801 E Cotati Ave,Rohnert Park,94928-3609,www.sonoma.edu,www.sonoma.edu/finaid/,www.sonoma.edu/admissions/,https://www2.calstate.edu/apply,
123800,Southwestern College,4,Southwestern Community College District,Southwestern College,900 Otay Lakes Rd,Chula Vista,91910-7299,www.swccd.edu,https://www.swccd.edu/index.aspx?page=1282,https://www.swccd.edu/index.aspx?page=3,https://www.swccd.edu/index.aspx?page=279,
124113,Taft College,4,,Taft College,29 Cougar Court,Taft,93268,www.taftcollege.edu,www.taftcollege.edu/financial-aid/,www.taftcollege.edu/admissions/,https://www.opencccapply.net/uPortal/render.userLayoutRootNode.uP;jsessionid=9CF599EA0B29A3EBDBD5A7A894E83E3A,
110635,University of California-Berkeley,1,UC Berkeley,University of California-Berkeley,200 California Hall,Berkeley,94720,www.berkeley.edu,,,,
110644,University of California-Davis,1,UC Davis,University of California-Davis,One Shields Avenue,Davis,95616-8678,www.ucdavis.edu,financialaid.ucdavis.edu/,www.ucdavis.edu/admissions/,universityofcalifornia.edu/admissions/undergrad_adm/apply/apply_online.html,
110398,University of California-Hastings College of Law,1,,University of California-Hastings College of Law,200 McAllister St,San Francisco,94102-4978,www.uchastings.edu,www.uchastings.edu/about/admin-offices/financial-aid/,www.uchastings.edu/admissions/,www.uchastings.edu/admissions/jd/how-apply/,
110653,University of California-Irvine,1,UCI |UC Irvine,University of California-Irvine,501 Aldrich Hall,Irvine,92697,www.uci.edu/,www.ofas.uci.edu/,www.admissions.uci.edu/,www.universityofcalifornia.edu/apply,
110662,University of California-Los Angeles,1,UCLA,University of California-Los Angeles,405 Hilgard Ave,Los Angeles,90095-1405,www.ucla.edu/,financialaid.ucla.edu/,www.admissions.ucla.edu/,www.universityofcalifornia.edu/admissions/how-to-apply/apply-online/index.html,
445188,University of California-Merced,1,UC Merced,University of California-Merced,5200 North Lake Road,Merced,95343-5603,www.ucmerced.edu,financialaid.ucmerced.edu,admissions.ucmerced.edu,www.universityofcalifornia.edu/admissions/undergrad_adm/apply/apply_online.html,
110671,University of California-Riverside,1,UC Riverside,University of California-Riverside,900 University Ave,Riverside,92521,WWW.UCR.EDU,finaid.ucr.edu,admissions.ucr.edu/,www.universityofcalifornia.edu/admissions/undergrad_adm/apply/apply_online.html,
110680,University of California-San Diego,1,UCSD |UC San Diego,University of California-San Diego,9500 Gilman Dr,La Jolla,92093,www.ucsd.edu,www.ucsd.edu,www.ucsd.edu/prospective-students/undergrad.html,www.universityofcalifornia.edu/admissions/how-to-apply/apply-online/index.html,
110699,University of California-San Francisco,1,UCSF |UC San Francisco |University of California at San Francisco |University of California  San Francisco,University of California-San Francisco,500 Parnassus Ave,San Francisco,94143-0244,www.ucsf.edu,finaid.ucsf.edu/,registrar.ucsf.edu/,,
110705,University of California-Santa Barbara,1,UCSB |UC Santa Barbara,University of California-Santa Barbara,5221 Cheadle Hall,Santa Barbara,93106,www.ucsb.edu,www.finaid.ucsb.edu/,www.admissions.ucsb.edu/,www.universityofcalifornia.edu/admissions/undergrad_adm/apply_to_uc.html,
110714,University of California-Santa Cruz,1,UC Santa Cruz,University of California-Santa Cruz,1156 High St,Santa Cruz,95064-1011,www.ucsc.edu/,financialaid.ucsc.edu,admissions.ucsc.edu/,www.universityofcalifornia.edu/admissions/undergrad_adm/apply/apply_online.html,
125028,Ventura College,4,,Ventura College,4667 Telegraph Rd,Ventura,93003-3872,www.venturacollege.edu/,www.venturacollege.edu/departments/student-services/financial-aid,www.venturacollege.edu/apply_enroll/,www.venturacollege.edu/apply-and-enroll,
125091,Victor Valley College,4,,Victor Valley College,18422 Bear Valley Rd,Victorville,92395-5850,www.vvc.edu,www.vvc.edu/offices/financial-aid/,www.vvc.edu/offices/admissions-records/,https://www.opencccapply.net/uPortal/render.userLayoutRootNode.uP,
125462,West Hills College-Coalinga,4,,West Hills College-Coalinga,300 Cherry Lane,Coalinga,93210,www.westhillscollege.com/coalinga/,www.westhillscollege.com/coalinga/financial_aid/index.asp,www.westhillscollege.com/coalinga/admission/index.asp,www.westhillscollege.com/coalinga/financial_aid/index.asp,
448594,West Hills College-Lemoore,4,,West Hills College-Lemoore,555 College Avenue,Lemoore,93245,www.westhillscollege.com/lemoore/,www.westhillscollege.com/lemoore/financial_aid/index.asp,www.westhillscollege.com/lemoore/admission/index.asp,westhillscollege.com/lemoore/financial_aid/index.asp,
125471,West Los Angeles College,1,West LA College |West L.A. College |West LA |West L.A. |WLAC |WestLA,West Los Angeles College,9000 Overland Avenue,Culver City,90230-3519,www.wlac.edu,www.wlac.edu/Financial-Aid/index.aspx,www.wlac.edu/Admissions/index.aspx,www.laccd.edu/Students/opencccapply/applywlac/Pages/default.aspx,
125499,West Valley College,4,,West Valley College,14000 Fruitvale Ave,Saratoga,95070-5698,www.westvalley.edu,www.westvalley.edu/financialaid/,www.westvalley.edu/admissions/,westvalley.edu/admissions/apply-now.html,
455512,Woodland Community College,4,,Woodland Community College,2300 E Gibson Rd,Woodland,95776,https://wcc.yccd.edu,https://wcc.yccd.edu/student/financialaid/,https://wcc.yccd.edu/admissions/,https://home.cccapply.org/,
126119,Yuba College,4,,Yuba College,2088 N Beale Rd,Marysville,95901,https://yc.yccd.edu,https://yc.yccd.edu/student/financialaid/,https://yc.yccd.edu/admissions/,https://home.cccapply.org,
