UnitID,Institution Name,Sector of institution (HD2017),Institution name alias (HD2017),Institution (entity) name (HD2017),Street address or post office box (HD2017),City location of institution (HD2017),ZIP code (HD2017),Institution's internet website address (HD2017),Financial aid office web address (HD2017),Admissions office web address (HD2017),Online application web address (HD2017),
121707,College of the Redwoods,4,,College of the Redwoods,7351 Tompkins Hill Rd,Eureka,95501-9300,www.redwoods.edu,www.redwoods.edu/Financial-Aid/,www.redwoods.edu/Admissions/,www.redwoods.edu/admissions/GetStarted,
123217,College of the Sequoias,4,,College of the Sequoias,915 S. Mooney Blvd,Visalia,93277-2214,www.cos.edu,www.cos.edu/FinancialAid/Pages/default.aspx,www.cos.edu/Admissions/Admissions/Pages/default.aspx,www.cos.edu/Admissions/Admissions/Pages/default.aspx,
123484,College of the Siskiyous,4,,College of the Siskiyous,800 College Ave,Weed,96094-2899,www.siskiyous.edu,www.siskiyous.edu/financialaid/,www.siskiyous.edu/registration.htm,www.siskiyous.edu/apply/,
112561,Columbia College,4,Columbia Junior College |CC,Columbia College,11600 Columbia College Dr,Sonora,95370,www.gocolumbia.edu/,www.gocolumbia.edu/financial_aid/,www.gocolumbia.edu/admissions/,www.gocolumbia.edu/admissions/application.php,
112826,Contra Costa College,4,CCC,Contra Costa College,2600 Mission Bell Dr,San Pablo,94806-3195,www.contracosta.edu,www.contracosta.edu/home/student-services/financial-aid/,www.contracosta.edu/home/admissions-records/,www.contracosta.edu/admissions/apply-now/,
395362,Copper Mountain Community College,4,CMC,Copper Mountain Community College,6162 Rotary Way,Joshua Tree,92252,www.cmccd.edu,www.cmccd.edu/financial_aid,www.cmccd.edu/Admissions___Records,,
113096,Cosumnes River College,4,Cosumnes River | CRC,Cosumnes River College,8401 Center Parkway,Sacramento,95823-5799,www.crc.losrios.edu/,www.crc.losrios.edu/Student_Services/Financial_Aid.htm,www.crc.losrios.edu/Student_Services/Admissions.htm,www.losrios.edu/lrc/lrc_app.php,
113111,Crafton Hills College,4,CHC |Crafton |Crafton College |Crafton Hills,Crafton Hills College,11711 Sand Canyon Road,Yucaipa,92339-1799,www.craftonhills.edu,www.craftonhills.edu/current-students/financial-aid/index.php,www.craftonhills.edu/admissions-and-records/index.php,https://www.opencccapply.net/uPortal/render.userLayoutRootNode.uP;jsessionid=FC629C65A970611B9BFE8929EDE58696,
113193,Cuesta College,4,,Cuesta College,Highway 1,San Luis Obispo,93403-8106,www.cuesta.edu,www.cuesta.edu/student/studentservices/finaid/index.html,www.cuesta.edu/admissionsaid/index.html,www.cuesta.edu/admissionsaid/apply/index.html,
113218,Cuyamaca College,4,,Cuyamaca College,900 Rancho San Diego Pky,El Cajon,92019,www.cuyamaca.edu,www.cuyamaca.edu/services/finaid/default.aspx,www.cuyamaca.edu/services/admissions/default.aspx,www.cuyamaca.edu/services/admissions/application-information.aspx,
113236,Cypress College,1,,Cypress College,9200 Valley View,Cypress,90630-5897,www.cypresscollege.edu,www.cypresscollege.edu/admissions/financialAid,www.cypresscollege.edu/admissions,www.cypresscollege.edu/admissions/gettingStarted,
113333,De Anza College,4,,De Anza College,21250 Stevens Creek Blvd.,Cupertino,95014,www.deanza.edu/,www.deanza.edu/financialaid/,www.deanza.edu/admissions/index.html,www.deanza.edu/admissions/apply.html,
113634,Diablo Valley College,4,Diablo Valley  DVC,Diablo Valley College,321 Golf Club Rd,Pleasant Hill,94523,www.dvc.edu,www.dvc.edu/studentservices/financial-aid/index.html,www.dvc.edu/enrollment/a-and-r/index.html,www.dvc.edu/future/steps/index.html,
